Vectors,Accent
"[-3.6912128e+02  9.6501305e+01 -1.2096549e+01  3.5881743e+00
  1.3639383e+00  8.4406557e+00 -9.8001833e+00  4.8464227e+00
 -5.9827604e+00  4.4143076e+00 -1.1404773e+01  4.9629855e+00
 -4.8943419e+00  1.7668954e+00 -2.8918536e+00  4.1595716e+00
 -5.1833458e+00  4.4748697e+00 -2.1059918e+00 -1.6115837e+00
 -1.1346062e+00  8.2189596e-01 -4.9961586e+00  1.9085742e+00
 -2.2916522e+00 -8.6944513e-02  1.2562523e+00 -1.3735193e+00
 -9.2366838e-01 -7.1389832e-02  1.2357824e+00 -4.0726376e-01
  2.9136360e-01 -4.8069480e-01  1.7660620e+00 -1.9692457e+00
 -5.9740651e-01 -9.6233582e-01 -2.1172237e+00 -1.7963604e+00]",mandarin
"[-3.4994861e+02  8.6860512e+01 -1.6664661e+01  5.9071354e+01
  1.9464558e+00  5.0001941e+00 -1.3564078e+01 -3.8837512e+00
  8.9017820e+00 -2.0936819e+01 -1.3520470e+01  1.0431406e+00
  8.8558969e+00 -1.0876599e+01 -7.6299834e+00 -1.0632426e+01
 -1.6786945e+01 -5.4347789e-01 -9.2723227e+00 -3.5792737e+00
 -4.2198369e-01 -4.2945480e+00  2.5869319e-01 -3.5482650e+00
 -4.1269703e+00 -2.1027122e-01  1.0716242e-01 -7.5244622e+00
 -5.3399310e+00  1.8746914e+00  3.7193844e-01 -5.2341557e+00
 -5.4678626e+00  9.7022182e-01  4.6875381e+00  5.1942329e+00
 -1.5982429e+00 -3.0440369e+00  3.5987265e+00  7.1068134e+00]",mandarin
"[-2.98707855e+02  1.25568863e+02  4.53037882e+00  3.43209648e+01
  1.44464064e+01  8.35746384e+00  2.94768548e+00  3.43703699e+00
 -1.80817413e+01 -4.86872578e+00 -7.51178408e+00  1.23976362e+00
 -4.07607555e+00  8.42858195e-01  1.10663044e+00  9.09529030e-01
 -6.40396118e+00 -4.59846497e-01 -2.35102439e+00 -1.56219184e+00
 -2.02067280e+00 -2.73508936e-01 -3.81394076e+00  1.59359917e-01
 -5.69632888e-01 -2.06355429e+00 -3.13857388e+00 -8.89814317e-01
  1.70526922e+00  1.24041125e-01 -1.14359462e+00  1.44765496e+00
 -3.63321126e-01 -2.46234465e+00  4.15649652e-01 -2.58038974e+00
 -2.82101774e+00 -2.39647913e+00 -2.35472393e+00 -1.76607680e+00]",mandarin
"[-3.8509143e+02  3.1032341e+01 -3.0009336e+01  3.6242439e+01
 -7.2377381e+00  1.0402157e+01 -1.2741818e+01  1.4433571e+01
 -1.2840618e+01  1.4214735e+01 -5.4066634e+00  8.1203709e+00
 -3.5865417e+00  1.0835963e+01 -2.8384933e+00  9.1349277e+00
 -4.1449108e+00  1.3413813e+01 -1.8868277e+00  4.7622623e+00
 -1.2775155e+00  5.1033916e+00 -2.6932347e-01  5.5312061e+00
 -1.2639753e+00  4.2306742e-01 -1.4618356e+00  2.3651059e+00
  2.1457953e+00  5.2904969e-01  1.8528980e+00  6.2043023e-01
  3.4688699e-01  3.2250462e+00 -9.3820667e-01 -3.1475756e-02
 -4.7634542e-01 -3.4090528e-01  7.8577000e-01  1.5442690e+00]",mandarin
"[-273.05637     101.30561       3.3049448    21.376122    -20.93427
    8.2114105    -4.8262253    -5.463869    -15.633437      1.914941
   -5.0739574    -1.5441792   -13.432337      0.9521406   -11.255994
   -5.9740744    -6.12562       3.0031877     3.3597975     1.9427322
   -9.988077     -2.1058066    -3.9834595    -1.6088649    -2.7137697
   -0.80333376    1.6532911     3.3823385     2.595268     -5.514528
   -4.716971     -3.5133712    -2.3665333    -0.8563784    -5.215479
   -6.471476     -4.1785474    -2.4088275    -1.5701311     1.6368899 ]",mandarin
"[-2.6669806e+02  8.0863564e+01 -7.5671706e+00  2.4611435e+01
 -1.5985456e+01 -7.9326063e-01 -8.6959572e+00 -2.7779088e+00
 -5.1026368e+00  2.6818795e+00 -8.4955292e+00  2.4409440e+00
 -1.3913511e+01 -3.1399003e-01 -1.2432165e+01 -1.9769503e-01
 -1.1212963e+01 -1.3605546e+00 -1.0160357e+01 -1.8242815e+00
 -9.8313608e+00 -2.2087610e+00 -3.8656042e+00 -1.8298951e+00
 -4.2286830e+00  1.4440411e+00 -3.5627830e+00 -6.5716106e-01
  1.2454274e+00  1.4078245e+00  2.0113151e+00  3.4107864e+00
  2.9960876e+00  1.6212730e+00  8.7894708e-01  6.1416230e-04
  4.0841120e-01  4.8693696e-01  1.1460514e+00  1.9713767e+00]",mandarin
"[-3.0172238e+02  1.2078698e+02  1.4557349e+01  4.9594563e+01
  1.1636153e+01  6.6967893e-01 -6.8940697e+00  9.4979769e-01
 -9.9429045e+00  4.1449795e+00 -1.0969909e+01  5.3006058e+00
  9.5833826e-01  2.0088445e-02 -2.6336792e+00  3.5954952e+00
 -5.0092096e+00 -4.3096204e+00 -2.4284265e+00 -2.2371724e+00
  1.1714829e-01  2.1026733e+00 -1.8296219e+00 -6.5755219e+00
 -3.0253611e+00 -1.4367782e-01 -2.2318616e+00 -6.7525274e-01
  3.4434927e-01 -2.5086794e+00 -2.8452120e+00 -2.1244361e+00
 -8.1944215e-01 -1.3274372e+00 -1.1487367e+00  1.2868041e-01
  7.7673542e-01  1.4817177e+00  2.6858302e-02 -4.9640372e-01]",mandarin
"[-2.9274826e+02  1.3460088e+02 -2.0468925e+01  9.1938848e+00
 -1.0782530e+01 -2.6268791e+01 -1.0851855e+01 -1.2172126e+01
 -2.5264177e+01 -2.0064082e+00 -1.7691214e+01 -1.3800264e+01
 -1.0762643e+01 -3.0783169e+00 -9.0946226e+00 -1.1774946e+01
 -1.0621703e+01 -5.3619280e+00 -1.2560316e+01 -1.0508802e+00
 -9.9185858e+00 -9.4235506e+00 -1.3108594e+00 -4.1141706e+00
 -7.6805873e+00 -3.4821858e+00 -4.7292972e+00 -8.6160821e-01
  8.3051842e-01  5.8527029e-01  4.7256322e+00  9.1378236e-01
  1.7811481e+00  3.7145475e-01  1.2579933e+00  3.0927372e+00
  6.5404356e-01  1.2747781e-01 -1.9058218e+00 -1.8773159e+00]",mandarin
"[-2.6586432e+02  9.8306702e+01  5.8063502e+00  3.4940552e+01
  2.3239160e+00  3.6617296e+00 -1.4830696e+01 -2.9548481e+00
 -1.3546285e+01 -1.9524302e+00 -9.5591955e+00 -3.0672712e+00
 -1.8205187e+01  1.2378987e+00 -1.3146778e+01 -9.7549696e+00
 -4.2827687e+00 -1.2428843e-01 -7.0263157e+00  2.7878361e+00
 -4.1384478e+00  2.8773718e+00  1.5763384e-01  5.1649027e+00
  1.1142614e+00  4.4382396e+00  3.0303810e+00  7.0049224e+00
  4.2812934e+00  4.7757025e+00  6.2791839e+00  7.4277143e+00
  8.4200916e+00  3.0915787e+00  4.7334032e+00  2.8923550e-01
 -7.8003049e-01 -2.4358089e+00 -3.1256778e+00 -1.9360706e+00]",mandarin
"[-3.06852661e+02  9.66288071e+01 -7.50732994e+00  3.35275292e+00
 -1.19947815e+01 -1.19453249e+01 -2.73861523e+01 -2.24061279e+01
 -1.33479357e+01 -5.20880365e+00 -1.66583862e+01 -1.37569103e+01
 -1.62332993e+01 -3.68389964e+00 -2.47523479e+01 -6.88044214e+00
 -2.18182158e+00 -4.30601978e+00 -4.94801426e+00 -9.31421071e-02
 -1.12424669e+01 -4.69418955e+00 -3.98807216e+00 -5.17390347e+00
 -2.13786316e+00 -1.27248502e+00 -5.42095041e+00 -1.13092160e+00
 -1.29895294e+00 -4.23285103e+00  3.56117654e+00  7.29600334e+00
  4.76102495e+00  7.19721794e+00  5.18009138e+00  1.46585917e+00
  2.85642934e+00  3.26993299e+00 -3.75289440e-01  2.69991016e+00]",mandarin
